left;1458050947052;20;14;0;2;11;1;1;105534
left;1458050947053;20;9;0;1;5;2;1;105054
left;1458050947054;19;14;0;2;11;1;1;105364
left;1458050947054;19;13;0;2;11;1;1;105374
right;1458050947059;21;1;4;0;6;1;0;110312
left;1458050947059;19;14;0;2;11;1;1;105384
right;1458050947059;22;3;3;0;7;2;0;110322
right;1458050947060;21;15;6;0;6;1;0;110332
right;1458050947062;23;9;4;0;7;2;0;110342
right;1458050947063;23;29;7;0;7;1;0;110352
left;1458050947064;20;14;0;2;11;1;1;105544
left;1458050947064;20;10;0;1;5;1;1;105064
right;1458050947065;22;14;6;0;6;1;0;110142
right;1458050947065;22;10;6;0;6;1;0;110152
left;1458050947068;35;22;6;0;8;1;0;110122
left;1458050947068;20;14;0;2;11;1;1;105394
right;1458050947070;22;15;0;2;8;2;1;105334
right;1458050947070;29;31;6;0;7;1;0;109982
right;1458050947071;21;15;0;3;7;2;1;105224
right;1458050947075;28;28;6;0;6;1;0;109992
right;1458050947079;27;14;5;0;6;0;0;110002
left;1458050947079;19;9;0;1;5;1;1;105074
right;1458050947080;22;18;7;0;6;1;0;110162
right;1458050947080;24;19;5;0;8;1;0;110172
left;1458050947081;32;2;4;0;6;1;0;110132
left;1458050947085;19;14;0;2;11;1;1;105404
left;1458050947085;19;14;0;2;11;1;1;105414
right;1458050947088;22;15;0;3;7;2;1;105234
right;1458050947088;21;12;6;0;6;1;0;110362
right;1458050947089;21;9;5;0;6;1;0;110372
right;1458050947092;23;10;5;0;8;2;0;110382
right;1458050947094;23;12;4;0;8;2;0;110392
right;1458050947096;21;10;6;0;6;1;0;110402
left;1458050947096;36;2;5;0;6;1;0;109592
left;1458050947096;32;16;7;0;6;1;0;110142
left;1458050947097;19;14;0;2;11;2;1;105424
left;1458050947097;20;14;0;2;11;1;1;105434
left;1458050947097;19;14;0;2;11;1;1;105444
left;1458050947100;19;14;0;2;11;1;1;105454
left;1458050947100;19;14;0;2;12;1;1;105464
left;1458050947100;19;14;0;2;11;1;1;105474
left;1458050947101;20;14;0;2;11;1;1;105554
left;1458050947101;32;12;6;0;6;1;0;110152
left;1458050947101;33;21;7;0;6;1;0;110162
left;1458050947102;36;22;6;0;8;1;0;110172
left;1458050947102;32;12;6;0;5;1;0;110182
left;1458050947103;36;34;7;0;7;1;0;110192
left;1458050947103;20;14;0;2;11;1;1;105564
left;1458050947104;19;14;0;2;11;1;1;105484
left;1458050947107;32;2;4;0;5;1;0;110202
left;1458050947107;35;13;5;0;7;1;0;110212
left;1458050947107;35;35;7;0;7;1;0;110222
left;1458050947108;35;21;6;0;8;1;0;110232
left;1458050947110;32;9;6;0;5;1;0;110242
left;1458050947111;34;35;7;0;8;1;0;110252
right;1458050947111;22;10;6;0;6;1;0;110182
right;1458050947112;23;15;0;2;8;2;1;105344
right;1458050947112;23;15;0;2;8;2;1;105354
right;1458050947112;23;15;1;2;8;2;1;105364
right;1458050947113;23;15;0;3;8;2;1;105374
right;1458050947113;23;15;0;3;9;2;1;105384
right;1458050947114;24;15;0;3;8;2;1;105394
right;1458050947114;24;29;7;0;8;1;0;110192
left;1458050947114;35;19;5;0;8;1;0;110262
right;1458050947115;23;15;0;2;8;2;1;105404
right;1458050947117;23;15;0;2;8;2;1;105414
right;1458050947117;22;15;0;2;7;2;1;105244
right;1458050947118;21;15;0;2;7;2;1;105254
right;1458050947118;22;15;0;3;7;2;1;105264
right;1458050947118;23;15;0;2;7;2;1;105274
right;1458050947118;22;15;0;2;7;2;1;105284
right;1458050947119;23;15;1;2;9;2;1;105424
right;1458050947122;22;15;0;2;8;2;1;105294
right;1458050947123;22;15;0;2;8;2;1;105304
right;1458050947123;23;15;1;2;8;2;1;105314
right;1458050947123;22;15;0;2;8;2;1;105324
left;1458050947124;38;34;9;0;7;1;0;109602
right;1458050947125;22;15;0;2;8;2;1;105334
left;1458050947127;36;15;7;0;6;1;0;109612
left;1458050947127;39;22;7;0;9;1;0;109622
left;1458050947128;39;30;8;0;8;1;0;109632
