seconds,mV,mV,mV
2.594,0.000,0.000,0.000
2.602,0.000,0.000,0.000
2.609,0.000,0.000,0.000
2.617,0.000,0.000,0.000
2.625,0.000,0.000,0.000
2.633,0.000,0.000,0.000
2.641,0.000,0.000,0.000
2.648,0.000,0.000,0.000
2.656,0.000,0.000,0.000
2.664,0.000,0.000,0.000
2.672,0.000,0.000,0.000
2.680,0.000,0.000,0.000
2.688,0.000,0.000,0.000
2.695,0.000,0.000,0.000
2.703,0.000,0.000,0.000
2.711,0.000,0.000,0.000
2.719,0.000,0.000,0.000
2.727,0.000,0.000,0.000
2.734,0.000,0.000,0.000
2.742,0.000,0.000,0.000
2.750,0.000,0.000,0.000
2.758,0.000,0.000,0.000
2.766,0.000,0.000,0.000
2.773,0.000,0.000,0.000
2.781,0.000,0.000,0.000
2.789,0.000,0.000,0.000
2.797,0.000,0.000,0.000
2.805,0.000,0.000,0.000
2.812,0.000,0.000,0.000
2.820,0.000,0.000,0.000
2.828,0.000,0.000,0.000
2.836,0.000,0.000,0.000
2.844,0.000,0.000,0.000
2.852,0.000,0.000,0.000
2.859,0.000,0.000,0.000
2.867,0.000,0.000,0.000
2.875,0.000,0.000,0.000
2.883,0.000,0.000,0.000
2.891,0.000,0.000,0.000
2.898,0.000,0.000,0.000
2.906,0.000,0.000,0.000
2.914,0.000,0.000,0.000
2.922,0.000,0.000,0.000
2.930,0.000,0.000,0.000
2.938,0.000,0.000,0.000
2.945,0.000,0.000,0.000
2.953,0.000,0.000,0.000
2.961,0.000,0.000,0.000
2.969,0.000,0.000,0.000
2.977,0.000,0.000,0.000
2.984,0.000,0.000,0.000
2.992,0.000,0.000,0.000
3.000,0.000,0.000,0.000
3.008,0.000,0.000,0.000
3.016,0.000,0.000,0.000
3.023,0.000,0.000,0.000
3.031,0.000,0.000,0.000
3.039,0.000,0.000,0.000
3.047,0.000,0.000,0.000
3.055,0.000,0.000,0.000
3.062,0.000,0.000,0.000
3.070,0.000,0.000,0.000
3.078,0.000,0.000,0.000
3.086,0.000,0.000,0.000
3.094,0.000,0.000,0.000
3.102,0.000,0.000,0.000
3.109,0.000,0.000,0.000
3.117,0.000,0.000,0.000
3.125,0.000,0.000,0.000
3.133,0.000,0.000,0.000
3.141,0.000,0.000,0.000
3.148,0.000,0.000,0.000
3.156,0.000,0.000,0.000
3.164,0.000,0.000,0.000
3.172,0.000,0.000,0.000
3.180,0.000,0.000,0.000
3.188,0.000,0.000,0.000
3.195,0.000,0.000,0.000
3.203,0.000,0.000,0.000
3.211,0.000,0.000,0.000
3.219,0.000,0.000,0.000
3.227,0.000,0.000,0.000
3.234,0.000,0.000,0.000
3.242,0.000,0.000,0.000
3.250,0.000,0.000,0.000
3.258,0.000,0.000,0.000
3.266,0.000,0.000,0.000
3.273,0.000,0.000,0.000
3.281,0.000,0.000,0.000
3.289,0.000,0.000,0.000
3.297,0.000,0.000,0.000
3.305,0.000,0.000,0.000
3.312,0.000,0.000,0.000
3.320,0.000,0.000,0.000
3.328,0.000,0.000,0.000
3.336,0.000,0.000,0.000
3.344,0.000,0.000,0.000
3.352,0.000,0.000,0.000
3.359,0.000,0.000,0.000
3.367,0.000,0.000,0.000
3.375,0.000,0.000,0.000
3.383,0.000,0.000,0.000
3.391,0.000,0.000,0.000
3.398,0.000,0.000,0.000
3.406,0.000,0.000,0.000
3.414,0.000,0.000,0.000
3.422,0.000,0.000,0.000
3.430,0.000,0.000,0.000
3.438,1.000,1.000,1.000
3.445,1.000,1.000,1.000
3.453,1.000,1.000,1.000
3.461,1.000,1.000,1.000
3.469,1.000,1.000,1.000
3.477,1.000,1.000,1.000
3.484,1.000,1.000,1.000
3.492,1.000,1.000,1.000
3.500,1.000,1.000,1.000
3.508,1.000,1.000,1.000
3.516,1.000,1.000,1.000
3.523,1.000,1.000,1.000
3.531,1.000,1.000,1.000
3.539,1.000,1.000,1.000
3.547,1.000,1.000,1.000
3.555,1.000,1.000,1.000
3.562,1.000,1.000,1.000
3.570,1.000,1.000,1.000
3.578,0.000,0.000,0.000
3.586,0.000,0.000,0.000
3.594,0.000,0.000,0.000
3.602,0.000,0.000,0.000
3.609,0.000,0.000,0.000
3.617,0.000,0.000,0.000
3.625,0.000,0.000,0.000
3.633,0.000,0.000,0.000
3.641,0.000,0.000,0.000
3.648,0.000,0.000,0.000
3.656,0.000,0.000,0.000
3.664,0.000,0.000,0.000
3.672,0.000,0.000,0.000
3.680,0.000,0.000,0.000
3.688,0.000,0.000,0.000
3.695,0.000,0.000,0.000
3.703,0.000,0.000,0.000
3.711,0.000,0.000,0.000
3.719,0.000,0.000,0.000
3.727,0.000,0.000,0.000
3.734,0.000,0.000,0.000
3.742,0.000,0.000,0.000
3.750,0.000,0.000,0.000
3.758,0.000,0.000,0.000
3.766,0.000,0.000,0.000
3.773,0.000,0.000,0.000
3.781,0.000,0.000,0.000
3.789,0.000,0.000,0.000
3.797,0.000,0.000,0.000
3.805,0.000,0.000,0.000
3.812,0.000,0.000,0.000
3.820,0.000,0.000,0.000
3.828,0.000,0.000,0.000
3.836,0.000,0.000,0.000
3.844,0.000,0.000,0.000
3.852,0.000,0.000,0.000
3.859,0.000,0.000,0.000
3.867,0.000,0.000,0.000
3.875,0.000,0.000,0.000
3.883,0.000,0.000,0.000
3.891,0.000,0.000,0.000
3.898,0.000,0.000,0.000
3.906,0.000,0.000,0.000
3.914,0.000,0.000,0.000
3.922,0.000,0.000,0.000
3.930,0.000,0.000,0.000
3.938,0.000,0.000,0.000
3.945,0.000,0.000,0.000
3.953,0.000,0.000,0.000
3.961,0.000,0.000,0.000
3.969,0.000,0.000,0.000
3.977,0.000,0.000,0.000
3.984,0.000,0.000,0.000
3.992,0.000,0.000,0.000
4.000,0.000,0.000,0.000
4.008,0.000,0.000,0.000
4.016,0.000,0.000,0.000
4.023,0.000,0.000,0.000
4.031,0.000,0.000,0.000
4.039,0.000,0.000,0.000
4.047,0.000,0.000,0.000
4.055,0.000,0.000,0.000
4.062,0.000,0.000,0.000
4.070,0.000,0.000,0.000
4.078,0.000,0.000,0.000
4.086,0.000,0.000,0.000
4.094,0.000,0.000,0.000
4.102,0.000,0.000,0.000
4.109,0.000,0.000,0.000
4.117,0.000,0.000,0.000
4.125,0.000,0.000,0.000
4.133,0.000,0.000,0.000
4.141,0.000,0.000,0.000
4.148,0.000,0.000,0.000
4.156,0.000,0.000,0.000
4.164,0.000,0.000,0.000
