seconds,mV,mV,mV
15.211,0.000,0.000,0.000
15.219,0.000,0.000,0.000
15.227,0.000,0.000,0.000
15.234,0.000,0.000,0.000
15.242,0.000,0.000,0.000
15.250,0.000,0.000,0.000
15.258,0.000,0.000,0.000
15.266,0.000,0.000,0.000
15.273,0.000,0.000,0.000
15.281,0.000,0.000,0.000
15.289,0.000,0.000,0.000
15.297,0.000,0.000,0.000
15.305,0.000,0.000,0.000
15.312,0.000,0.000,0.000
15.320,0.000,0.000,0.000
15.328,0.000,0.000,0.000
15.336,0.000,0.000,0.000
15.344,0.000,0.000,0.000
15.352,0.000,0.000,0.000
15.359,0.000,0.000,0.000
15.367,0.000,0.000,0.000
15.375,0.000,0.000,0.000
15.383,0.000,0.000,0.000
15.391,0.000,0.000,0.000
15.398,0.000,0.000,0.000
15.406,0.000,0.000,0.000
15.414,0.000,0.000,0.000
15.422,0.000,0.000,0.000
15.430,0.000,0.000,0.000
15.438,1.000,1.000,1.000
15.445,1.000,1.000,1.000
15.453,1.000,1.000,1.000
15.461,1.000,1.000,1.000
15.469,1.000,1.000,1.000
15.477,1.000,1.000,1.000
15.484,1.000,1.000,1.000
15.492,1.000,1.000,1.000
15.500,1.000,1.000,1.000
15.508,1.000,1.000,1.000
15.516,1.000,1.000,1.000
15.523,1.000,1.000,1.000
15.531,1.000,1.000,1.000
15.539,1.000,1.000,1.000
15.547,1.000,1.000,1.000
15.555,1.000,1.000,1.000
15.562,1.000,1.000,1.000
15.570,1.000,1.000,1.000
15.578,0.000,0.000,0.000
15.586,0.000,0.000,0.000
15.594,0.000,0.000,0.000
15.602,0.000,0.000,0.000
15.609,0.000,0.000,0.000
15.617,0.000,0.000,0.000
15.625,0.000,0.000,0.000
15.633,0.000,0.000,0.000
15.641,0.000,0.000,0.000
15.648,0.000,0.000,0.000
15.656,0.000,0.000,0.000
15.664,0.000,0.000,0.000
15.672,0.000,0.000,0.000
15.680,0.000,0.000,0.000
15.688,0.000,0.000,0.000
15.695,0.000,0.000,0.000
15.703,0.000,0.000,0.000
15.711,0.000,0.000,0.000
15.719,0.000,0.000,0.000
15.727,0.000,0.000,0.000
15.734,0.000,0.000,0.000
15.742,0.000,0.000,0.000
15.750,0.000,0.000,0.000
15.758,0.000,0.000,0.000
15.766,0.000,0.000,0.000
15.773,0.000,0.000,0.000
15.781,0.000,0.000,0.000
15.789,0.000,0.000,0.000
15.797,0.000,0.000,0.000
15.805,0.000,0.000,0.000
15.812,0.000,0.000,0.000
15.820,0.000,0.000,0.000
15.828,0.000,0.000,0.000
15.836,0.000,0.000,0.000
15.844,0.000,0.000,0.000
15.852,0.000,0.000,0.000
15.859,0.000,0.000,0.000
15.867,0.000,0.000,0.000
15.875,0.000,0.000,0.000
15.883,0.000,0.000,0.000
15.891,0.000,0.000,0.000
15.898,0.000,0.000,0.000
15.906,0.000,0.000,0.000
15.914,0.000,0.000,0.000
15.922,0.000,0.000,0.000
15.930,0.000,0.000,0.000
15.938,0.000,0.000,0.000
15.945,0.000,0.000,0.000
15.953,0.000,0.000,0.000
15.961,0.000,0.000,0.000
15.969,0.000,0.000,0.000
15.977,0.000,0.000,0.000
15.984,0.000,0.000,0.000
15.992,0.000,0.000,0.000
16.000,0.000,0.000,0.000
16.008,0.000,0.000,0.000
16.016,0.000,0.000,0.000
16.023,0.000,0.000,0.000
16.031,0.000,0.000,0.000
16.039,0.000,0.000,0.000
16.047,0.000,0.000,0.000
16.055,0.000,0.000,0.000
16.062,0.000,0.000,0.000
16.070,0.000,0.000,0.000
16.078,0.000,0.000,0.000
16.086,0.000,0.000,0.000
16.094,0.000,0.000,0.000
16.102,0.000,0.000,0.000
16.109,0.000,0.000,0.000
16.117,0.000,0.000,0.000
16.125,0.000,0.000,0.000
16.133,0.000,0.000,0.000
16.141,0.000,0.000,0.000
16.148,0.000,0.000,0.000
16.156,0.000,0.000,0.000
16.164,0.000,0.000,0.000
16.172,0.000,0.000,0.000
16.180,0.000,0.000,0.000
16.188,0.000,0.000,0.000
16.195,0.000,0.000,0.000
16.203,0.000,0.000,0.000
16.211,0.000,0.000,0.000
16.219,0.000,0.000,0.000
16.227,0.000,0.000,0.000
16.234,0.000,0.000,0.000
16.242,0.000,0.000,0.000
16.250,0.000,0.000,0.000
16.258,0.000,0.000,0.000
16.266,0.000,0.000,0.000
16.273,0.000,0.000,0.000
16.281,0.000,0.000,0.000
16.289,0.000,0.000,0.000
16.297,0.000,0.000,0.000
16.305,0.000,0.000,0.000
16.312,0.000,0.000,0.000
16.320,0.000,0.000,0.000
16.328,0.000,0.000,0.000
16.336,0.000,0.000,0.000
16.344,0.000,0.000,0.000
16.352,0.000,0.000,0.000
16.359,0.000,0.000,0.000
16.367,0.000,0.000,0.000
16.375,0.000,0.000,0.000
16.383,0.000,0.000,0.000
16.391,0.000,0.000,0.000
16.398,0.000,0.000,0.000
16.406,0.000,0.000,0.000
16.414,0.000,0.000,0.000
16.422,0.000,0.000,0.000
16.430,0.000,0.000,0.000
16.438,1.000,1.000,1.000
16.445,1.000,1.000,1.000
16.453,1.000,1.000,1.000
16.461,1.000,1.000,1.000
16.469,1.000,1.000,1.000
16.477,1.000,1.000,1.000
16.484,1.000,1.000,1.000
16.492,1.000,1.000,1.000
16.500,1.000,1.000,1.000
16.508,1.000,1.000,1.000
16.516,1.000,1.000,1.000
16.523,1.000,1.000,1.000
16.531,1.000,1.000,1.000
16.539,1.000,1.000,1.000
16.547,1.000,1.000,1.000
16.555,1.000,1.000,1.000
16.562,1.000,1.000,1.000
16.570,1.000,1.000,1.000
16.578,0.000,0.000,0.000
16.586,0.000,0.000,0.000
16.594,0.000,0.000,0.000
16.602,0.000,0.000,0.000
16.609,0.000,0.000,0.000
16.617,0.000,0.000,0.000
16.625,0.000,0.000,0.000
16.633,0.000,0.000,0.000
16.641,0.000,0.000,0.000
16.648,0.000,0.000,0.000
16.656,0.000,0.000,0.000
16.664,0.000,0.000,0.000
16.672,0.000,0.000,0.000
16.680,0.000,0.000,0.000
16.688,0.000,0.000,0.000
16.695,0.000,0.000,0.000
16.703,0.000,0.000,0.000
16.711,0.000,0.000,0.000
16.719,0.000,0.000,0.000
16.727,0.000,0.000,0.000
16.734,0.000,0.000,0.000
16.742,0.000,0.000,0.000
16.750,0.000,0.000,0.000
16.758,0.000,0.000,0.000
16.766,0.000,0.000,0.000
16.773,0.000,0.000,0.000
16.781,0.000,0.000,0.000
16.789,0.000,0.000,0.000
16.797,0.000,0.000,0.000
16.805,0.000,0.000,0.000
16.812,0.000,0.000,0.000
16.820,0.000,0.000,0.000
16.828,0.000,0.000,0.000
16.836,0.000,0.000,0.000
16.844,0.000,0.000,0.000
16.852,0.000,0.000,0.000
16.859,0.000,0.000,0.000
16.867,0.000,0.000,0.000
16.875,0.000,0.000,0.000
16.883,0.000,0.000,0.000
16.891,0.000,0.000,0.000
16.898,0.000,0.000,0.000
16.906,0.000,0.000,0.000
16.914,0.000,0.000,0.000
16.922,0.000,0.000,0.000
16.930,0.000,0.000,0.000
16.938,0.000,0.000,0.000
16.945,0.000,0.000,0.000
16.953,0.000,0.000,0.000
16.961,0.000,0.000,0.000
16.969,0.000,0.000,0.000
16.977,0.000,0.000,0.000
16.984,0.000,0.000,0.000
16.992,0.000,0.000,0.000
17.000,0.000,0.000,0.000
17.008,0.000,0.000,0.000
17.016,0.000,0.000,0.000
17.023,0.000,0.000,0.000
17.031,0.000,0.000,0.000
17.039,0.000,0.000,0.000
17.047,0.000,0.000,0.000
17.055,0.000,0.000,0.000
17.062,0.000,0.000,0.000
17.070,0.000,0.000,0.000
17.078,0.000,0.000,0.000
17.086,0.000,0.000,0.000
17.094,0.000,0.000,0.000
17.102,0.000,0.000,0.000
17.109,0.000,0.000,0.000
17.117,0.000,0.000,0.000
17.125,0.000,0.000,0.000
17.133,0.000,0.000,0.000
17.141,0.000,0.000,0.000
17.148,0.000,0.000,0.000
17.156,0.000,0.000,0.000
17.164,0.000,0.000,0.000
17.172,0.000,0.000,0.000
17.180,0.000,0.000,0.000
17.188,0.000,0.000,0.000
17.195,0.000,0.000,0.000
17.203,0.000,0.000,0.000
17.211,0.000,0.000,0.000
17.219,0.000,0.000,0.000
17.227,0.000,0.000,0.000
17.234,0.000,0.000,0.000
17.242,0.000,0.000,0.000
17.250,0.000,0.000,0.000
17.258,0.000,0.000,0.000
17.266,0.000,0.000,0.000
17.273,0.000,0.000,0.000
17.281,0.000,0.000,0.000
17.289,0.000,0.000,0.000
17.297,0.000,0.000,0.000
17.305,0.000,0.000,0.000
17.312,0.000,0.000,0.000
17.320,0.000,0.000,0.000
17.328,0.000,0.000,0.000
17.336,0.000,0.000,0.000
17.344,0.000,0.000,0.000
17.352,0.000,0.000,0.000
17.359,0.000,0.000,0.000
17.367,0.000,0.000,0.000
17.375,0.000,0.000,0.000
17.383,0.000,0.000,0.000
17.391,0.000,0.000,0.000
17.398,0.000,0.000,0.000
17.406,0.000,0.000,0.000
17.414,0.000,0.000,0.000
17.422,0.000,0.000,0.000
17.430,0.000,0.000,0.000
17.438,1.000,1.000,1.000
17.445,1.000,1.000,1.000
17.453,1.000,1.000,1.000
17.461,1.000,1.000,1.000
17.469,1.000,1.000,1.000
17.477,1.000,1.000,1.000
17.484,1.000,1.000,1.000
17.492,1.000,1.000,1.000
17.500,1.000,1.000,1.000
17.508,1.000,1.000,1.000
17.516,1.000,1.000,1.000
17.523,1.000,1.000,1.000
17.531,1.000,1.000,1.000
17.539,1.000,1.000,1.000
17.547,1.000,1.000,1.000
17.555,1.000,1.000,1.000
17.562,1.000,1.000,1.000
17.570,1.000,1.000,1.000
17.578,0.000,0.000,0.000
17.586,0.000,0.000,0.000
17.594,0.000,0.000,0.000
17.602,0.000,0.000,0.000
17.609,0.000,0.000,0.000
17.617,0.000,0.000,0.000
17.625,0.000,0.000,0.000
17.633,0.000,0.000,0.000
17.641,0.000,0.000,0.000
17.648,0.000,0.000,0.000
17.656,0.000,0.000,0.000
17.664,0.000,0.000,0.000
17.672,0.000,0.000,0.000
17.680,0.000,0.000,0.000
17.688,0.000,0.000,0.000
17.695,0.000,0.000,0.000
17.703,0.000,0.000,0.000
17.711,0.000,0.000,0.000
17.719,0.000,0.000,0.000
17.727,0.000,0.000,0.000
17.734,0.000,0.000,0.000
17.742,0.000,0.000,0.000
17.750,0.000,0.000,0.000
17.758,0.000,0.000,0.000
17.766,0.000,0.000,0.000
17.773,0.000,0.000,0.000
17.781,0.000,0.000,0.000
17.789,0.000,0.000,0.000
17.797,0.000,0.000,0.000
17.805,0.000,0.000,0.000
17.812,0.000,0.000,0.000
17.820,0.000,0.000,0.000
17.828,0.000,0.000,0.000
17.836,0.000,0.000,0.000
17.844,0.000,0.000,0.000
17.852,0.000,0.000,0.000
17.859,0.000,0.000,0.000
17.867,0.000,0.000,0.000
17.875,0.000,0.000,0.000
17.883,0.000,0.000,0.000
17.891,0.000,0.000,0.000
17.898,0.000,0.000,0.000
17.906,0.000,0.000,0.000
17.914,0.000,0.000,0.000
17.922,0.000,0.000,0.000
17.930,0.000,0.000,0.000
17.938,0.000,0.000,0.000
17.945,0.000,0.000,0.000
17.953,0.000,0.000,0.000
17.961,0.000,0.000,0.000
17.969,0.000,0.000,0.000
17.977,0.000,0.000,0.000
17.984,0.000,0.000,0.000
17.992,0.000,0.000,0.000
18.000,0.000,0.000,0.000
18.008,0.000,0.000,0.000
18.016,0.000,0.000,0.000
18.023,0.000,0.000,0.000
18.031,0.000,0.000,0.000
18.039,0.000,0.000,0.000
18.047,0.000,0.000,0.000
18.055,0.000,0.000,0.000
18.062,0.000,0.000,0.000
18.070,0.000,0.000,0.000
18.078,0.000,0.000,0.000
18.086,0.000,0.000,0.000
18.094,0.000,0.000,0.000
18.102,0.000,0.000,0.000
18.109,0.000,0.000,0.000
18.117,0.000,0.000,0.000
18.125,0.000,0.000,0.000
18.133,0.000,0.000,0.000
18.141,0.000,0.000,0.000
18.148,0.000,0.000,0.000
18.156,0.000,0.000,0.000
18.164,0.000,0.000,0.000
18.172,0.000,0.000,0.000
18.180,0.000,0.000,0.000
18.188,0.000,0.000,0.000
18.195,0.000,0.000,0.000
18.203,0.000,0.000,0.000
18.211,0.000,0.000,0.000
18.219,0.000,0.000,0.000
18.227,0.000,0.000,0.000
18.234,0.000,0.000,0.000
18.242,0.000,0.000,0.000
18.250,0.000,0.000,0.000
18.258,0.000,0.000,0.000
18.266,0.000,0.000,0.000
18.273,0.000,0.000,0.000
18.281,0.000,0.000,0.000
18.289,0.000,0.000,0.000
18.297,0.000,0.000,0.000
18.305,0.000,0.000,0.000
18.312,0.000,0.000,0.000
18.320,0.000,0.000,0.000
18.328,0.000,0.000,0.000
18.336,0.000,0.000,0.000
18.344,0.000,0.000,0.000
18.352,0.000,0.000,0.000
18.359,0.000,0.000,0.000
18.367,0.000,0.000,0.000
18.375,0.000,0.000,0.000
18.383,0.000,0.000,0.000
18.391,0.000,0.000,0.000
18.398,0.000,0.000,0.000
18.406,0.000,0.000,0.000
18.414,0.000,0.000,0.000
18.422,0.000,0.000,0.000
18.430,0.000,0.000,0.000
18.438,1.000,1.000,1.000
18.445,1.000,1.000,1.000
18.453,1.000,1.000,1.000
18.461,1.000,1.000,1.000
18.469,1.000,1.000,1.000
18.477,1.000,1.000,1.000
18.484,1.000,1.000,1.000
18.492,1.000,1.000,1.000
18.500,1.000,1.000,1.000
18.508,1.000,1.000,1.000
18.516,1.000,1.000,1.000
18.523,1.000,1.000,1.000
18.531,1.000,1.000,1.000
18.539,1.000,1.000,1.000
18.547,1.000,1.000,1.000
18.555,1.000,1.000,1.000
18.562,1.000,1.000,1.000
18.570,1.000,1.000,1.000
18.578,0.000,0.000,0.000
18.586,0.000,0.000,0.000
18.594,0.000,0.000,0.000
18.602,0.000,0.000,0.000
18.609,0.000,0.000,0.000
18.617,0.000,0.000,0.000
18.625,0.000,0.000,0.000
18.633,0.000,0.000,0.000
18.641,0.000,0.000,0.000
18.648,0.000,0.000,0.000
18.656,0.000,0.000,0.000
18.664,0.000,0.000,0.000
18.672,0.000,0.000,0.000
18.680,0.000,0.000,0.000
18.688,0.000,0.000,0.000
18.695,0.000,0.000,0.000
18.703,0.000,0.000,0.000
18.711,0.000,0.000,0.000
18.719,0.000,0.000,0.000
18.727,0.000,0.000,0.000
18.734,0.000,0.000,0.000
18.742,0.000,0.000,0.000
18.750,0.000,0.000,0.000
18.758,0.000,0.000,0.000
18.766,0.000,0.000,0.000
18.773,0.000,0.000,0.000
18.781,0.000,0.000,0.000
18.789,0.000,0.000,0.000
18.797,0.000,0.000,0.000
18.805,0.000,0.000,0.000
18.812,0.000,0.000,0.000
18.820,0.000,0.000,0.000
18.828,0.000,0.000,0.000
18.836,0.000,0.000,0.000
18.844,0.000,0.000,0.000
18.852,0.000,0.000,0.000
18.859,0.000,0.000,0.000
18.867,0.000,0.000,0.000
18.875,0.000,0.000,0.000
18.883,0.000,0.000,0.000
18.891,0.000,0.000,0.000
18.898,0.000,0.000,0.000
18.906,0.000,0.000,0.000
18.914,0.000,0.000,0.000
18.922,0.000,0.000,0.000
18.930,0.000,0.000,0.000
18.938,0.000,0.000,0.000
18.945,0.000,0.000,0.000
18.953,0.000,0.000,0.000
18.961,0.000,0.000,0.000
18.969,0.000,0.000,0.000
18.977,0.000,0.000,0.000
18.984,0.000,0.000,0.000
18.992,0.000,0.000,0.000
19.000,0.000,0.000,0.000
19.008,0.000,0.000,0.000
19.016,0.000,0.000,0.000
19.023,0.000,0.000,0.000
19.031,0.000,0.000,0.000
19.039,0.000,0.000,0.000
19.047,0.000,0.000,0.000
19.055,0.000,0.000,0.000
19.062,0.000,0.000,0.000
19.070,0.000,0.000,0.000
19.078,0.000,0.000,0.000
19.086,0.000,0.000,0.000
19.094,0.000,0.000,0.000
19.102,0.000,0.000,0.000
19.109,0.000,0.000,0.000
19.117,0.000,0.000,0.000
19.125,0.000,0.000,0.000
19.133,0.000,0.000,0.000
19.141,0.000,0.000,0.000
19.148,0.000,0.000,0.000
19.156,0.000,0.000,0.000
19.164,0.000,0.000,0.000
19.172,0.000,0.000,0.000
19.180,0.000,0.000,0.000
19.188,0.000,0.000,0.000
19.195,0.000,0.000,0.000
19.203,0.000,0.000,0.000
19.211,0.000,0.000,0.000
19.219,0.000,0.000,0.000
19.227,0.000,0.000,0.000
19.234,0.000,0.000,0.000
19.242,0.000,0.000,0.000
19.250,0.000,0.000,0.000
19.258,0.000,0.000,0.000
19.266,0.000,0.000,0.000
19.273,0.000,0.000,0.000
19.281,0.000,0.000,0.000
19.289,0.000,0.000,0.000
19.297,0.000,0.000,0.000
19.305,0.000,0.000,0.000
19.312,0.000,0.000,0.000
19.320,0.000,0.000,0.000
19.328,0.000,0.000,0.000
19.336,0.000,0.000,0.000
19.344,0.000,0.000,0.000
19.352,0.000,0.000,0.000
19.359,0.000,0.000,0.000
19.367,0.000,0.000,0.000
19.375,0.000,0.000,0.000
19.383,0.000,0.000,0.000
19.391,0.000,0.000,0.000
19.398,0.000,0.000,0.000
19.406,0.000,0.000,0.000
19.414,0.000,0.000,0.000
19.422,0.000,0.000,0.000
19.430,0.000,0.000,0.000
19.438,1.000,1.000,1.000
19.445,1.000,1.000,1.000
19.453,1.000,1.000,1.000
19.461,1.000,1.000,1.000
19.469,1.000,1.000,1.000
19.477,1.000,1.000,1.000
19.484,1.000,1.000,1.000
19.492,1.000,1.000,1.000
19.500,1.000,1.000,1.000
19.508,1.000,1.000,1.000
19.516,1.000,1.000,1.000
19.523,1.000,1.000,1.000
19.531,1.000,1.000,1.000
19.539,1.000,1.000,1.000
19.547,1.000,1.000,1.000
19.555,1.000,1.000,1.000
19.562,1.000,1.000,1.000
19.570,1.000,1.000,1.000
19.578,0.000,0.000,0.000
19.586,0.000,0.000,0.000
19.594,0.000,0.000,0.000
19.602,0.000,0.000,0.000
19.609,0.000,0.000,0.000
19.617,0.000,0.000,0.000
19.625,0.000,0.000,0.000
19.633,0.000,0.000,0.000
19.641,0.000,0.000,0.000
19.648,0.000,0.000,0.000
19.656,0.000,0.000,0.000
19.664,0.000,0.000,0.000
19.672,0.000,0.000,0.000
19.680,0.000,0.000,0.000
19.688,0.000,0.000,0.000
19.695,0.000,0.000,0.000
19.703,0.000,0.000,0.000
19.711,0.000,0.000,0.000
19.719,0.000,0.000,0.000
19.727,0.000,0.000,0.000
19.734,0.000,0.000,0.000
19.742,0.000,0.000,0.000
19.750,0.000,0.000,0.000
19.758,0.000,0.000,0.000
19.766,0.000,0.000,0.000
19.773,0.000,0.000,0.000
19.781,0.000,0.000,0.000
19.789,0.000,0.000,0.000
19.797,0.000,0.000,0.000
19.805,0.000,0.000,0.000
19.812,0.000,0.000,0.000
19.820,0.000,0.000,0.000
19.828,0.000,0.000,0.000
19.836,0.000,0.000,0.000
19.844,0.000,0.000,0.000
19.852,0.000,0.000,0.000
19.859,0.000,0.000,0.000
19.867,0.000,0.000,0.000
19.875,0.000,0.000,0.000
19.883,0.000,0.000,0.000
19.891,0.000,0.000,0.000
19.898,0.000,0.000,0.000
19.906,0.000,0.000,0.000
19.914,0.000,0.000,0.000
19.922,0.000,0.000,0.000
19.930,0.000,0.000,0.000
19.938,0.000,0.000,0.000
19.945,0.000,0.000,0.000
19.953,0.000,0.000,0.000
19.961,0.000,0.000,0.000
19.969,0.000,0.000,0.000
19.977,0.000,0.000,0.000
19.984,0.000,0.000,0.000
19.992,0.000,0.000,0.000
20.000,0.000,0.000,0.000
20.008,0.000,0.000,0.000
20.016,0.000,0.000,0.000
20.023,0.000,0.000,0.000
20.031,0.000,0.000,0.000
20.039,0.000,0.000,0.000
20.047,0.000,0.000,0.000
20.055,0.000,0.000,0.000
20.062,0.000,0.000,0.000
20.070,0.000,0.000,0.000
20.078,0.000,0.000,0.000
20.086,0.000,0.000,0.000
20.094,0.000,0.000,0.000
20.102,0.000,0.000,0.000
20.109,0.000,0.000,0.000
20.117,0.000,0.000,0.000
20.125,0.000,0.000,0.000
20.133,0.000,0.000,0.000
20.141,0.000,0.000,0.000
20.148,0.000,0.000,0.000
20.156,0.000,0.000,0.000
20.164,0.000,0.000,0.000
20.172,0.000,0.000,0.000
20.180,0.000,0.000,0.000
20.188,0.000,0.000,0.000
20.195,0.000,0.000,0.000
20.203,0.000,0.000,0.000
20.211,0.000,0.000,0.000
20.219,0.000,0.000,0.000
20.227,0.000,0.000,0.000
20.234,0.000,0.000,0.000
20.242,0.000,0.000,0.000
20.250,0.000,0.000,0.000
20.258,0.000,0.000,0.000
20.266,0.000,0.000,0.000
20.273,0.000,0.000,0.000
20.281,0.000,0.000,0.000
20.289,0.000,0.000,0.000
20.297,0.000,0.000,0.000
20.305,0.000,0.000,0.000
20.312,0.000,0.000,0.000
20.320,0.000,0.000,0.000
20.328,0.000,0.000,0.000
20.336,0.000,0.000,0.000
20.344,0.000,0.000,0.000
20.352,0.000,0.000,0.000
20.359,0.000,0.000,0.000
20.367,0.000,0.000,0.000
20.375,0.000,0.000,0.000
20.383,0.000,0.000,0.000
20.391,0.000,0.000,0.000
20.398,0.000,0.000,0.000
20.406,0.000,0.000,0.000
20.414,0.000,0.000,0.000
20.422,0.000,0.000,0.000
20.430,0.000,0.000,0.000
20.438,1.000,1.000,1.000
20.445,1.000,1.000,1.000
20.453,1.000,1.000,1.000
20.461,1.000,1.000,1.000
20.469,1.000,1.000,1.000
20.477,1.000,1.000,1.000
20.484,1.000,1.000,1.000
20.492,1.000,1.000,1.000
20.500,1.000,1.000,1.000
20.508,1.000,1.000,1.000
20.516,1.000,1.000,1.000
20.523,1.000,1.000,1.000
20.531,1.000,1.000,1.000
20.539,1.000,1.000,1.000
20.547,1.000,1.000,1.000
20.555,1.000,1.000,1.000
20.562,1.000,1.000,1.000
20.570,1.000,1.000,1.000
20.578,0.000,0.000,0.000
20.586,0.000,0.000,0.000
20.594,0.000,0.000,0.000
20.602,0.000,0.000,0.000
20.609,0.000,0.000,0.000
20.617,0.000,0.000,0.000
20.625,0.000,0.000,0.000
20.633,0.000,0.000,0.000
20.641,0.000,0.000,0.000
20.648,0.000,0.000,0.000
20.656,0.000,0.000,0.000
20.664,0.000,0.000,0.000
20.672,0.000,0.000,0.000
20.680,0.000,0.000,0.000
20.688,0.000,0.000,0.000
20.695,0.000,0.000,0.000
20.703,0.000,0.000,0.000
20.711,0.000,0.000,0.000
20.719,0.000,0.000,0.000
20.727,0.000,0.000,0.000
20.734,0.000,0.000,0.000
20.742,0.000,0.000,0.000
20.750,0.000,0.000,0.000
20.758,0.000,0.000,0.000
20.766,0.000,0.000,0.000
20.773,0.000,0.000,0.000
20.781,0.000,0.000,0.000
20.789,0.000,0.000,0.000
20.797,0.000,0.000,0.000
20.805,0.000,0.000,0.000
20.812,0.000,0.000,0.000
20.820,0.000,0.000,0.000
20.828,0.000,0.000,0.000
20.836,0.000,0.000,0.000
20.844,0.000,0.000,0.000
20.852,0.000,0.000,0.000
20.859,0.000,0.000,0.000
20.867,0.000,0.000,0.000
20.875,0.000,0.000,0.000
20.883,0.000,0.000,0.000
20.891,0.000,0.000,0.000
20.898,0.000,0.000,0.000
20.906,0.000,0.000,0.000
20.914,0.000,0.000,0.000
20.922,0.000,0.000,0.000
20.930,0.000,0.000,0.000
20.938,0.000,0.000,0.000
20.945,0.000,0.000,0.000
20.953,0.000,0.000,0.000
20.961,0.000,0.000,0.000
20.969,0.000,0.000,0.000
20.977,0.000,0.000,0.000
20.984,0.000,0.000,0.000
20.992,0.000,0.000,0.000
21.000,0.000,0.000,0.000
21.008,0.000,0.000,0.000
21.016,0.000,0.000,0.000
21.023,0.000,0.000,0.000
21.031,0.000,0.000,0.000
21.039,0.000,0.000,0.000
21.047,0.000,0.000,0.000
21.055,0.000,0.000,0.000
21.062,0.000,0.000,0.000
21.070,0.000,0.000,0.000
21.078,0.000,0.000,0.000
21.086,0.000,0.000,0.000
21.094,0.000,0.000,0.000
21.102,0.000,0.000,0.000
21.109,0.000,0.000,0.000
21.117,0.000,0.000,0.000
21.125,0.000,0.000,0.000
21.133,0.000,0.000,0.000
21.141,0.000,0.000,0.000
21.148,0.000,0.000,0.000
21.156,0.000,0.000,0.000
21.164,0.000,0.000,0.000
21.172,0.000,0.000,0.000
21.180,0.000,0.000,0.000
21.188,0.000,0.000,0.000
21.195,0.000,0.000,0.000
21.203,0.000,0.000,0.000
21.211,0.000,0.000,0.000
21.219,0.000,0.000,0.000
21.227,0.000,0.000,0.000
21.234,0.000,0.000,0.000
21.242,0.000,0.000,0.000
21.250,0.000,0.000,0.000
21.258,0.000,0.000,0.000
21.266,0.000,0.000,0.000
21.273,0.000,0.000,0.000
21.281,0.000,0.000,0.000
21.289,0.000,0.000,0.000
21.297,0.000,0.000,0.000
21.305,0.000,0.000,0.000
21.312,0.000,0.000,0.000
21.320,0.000,0.000,0.000
21.328,0.000,0.000,0.000
21.336,0.000,0.000,0.000
21.344,0.000,0.000,0.000
21.352,0.000,0.000,0.000
21.359,0.000,0.000,0.000
21.367,0.000,0.000,0.000
21.375,0.000,0.000,0.000
21.383,0.000,0.000,0.000
21.391,0.000,0.000,0.000
21.398,0.000,0.000,0.000
21.406,0.000,0.000,0.000
21.414,0.000,0.000,0.000
21.422,0.000,0.000,0.000
21.430,0.000,0.000,0.000
21.438,1.000,1.000,1.000
21.445,1.000,1.000,1.000
21.453,1.000,1.000,1.000
21.461,1.000,1.000,1.000
21.469,1.000,1.000,1.000
21.477,1.000,1.000,1.000
21.484,1.000,1.000,1.000
21.492,1.000,1.000,1.000
21.500,1.000,1.000,1.000
21.508,1.000,1.000,1.000
21.516,1.000,1.000,1.000
21.523,1.000,1.000,1.000
21.531,1.000,1.000,1.000
21.539,1.000,1.000,1.000
21.547,1.000,1.000,1.000
21.555,1.000,1.000,1.000
21.562,1.000,1.000,1.000
21.570,1.000,1.000,1.000
21.578,0.000,0.000,0.000
21.586,0.000,0.000,0.000
21.594,0.000,0.000,0.000
21.602,0.000,0.000,0.000
21.609,0.000,0.000,0.000
21.617,0.000,0.000,0.000
21.625,0.000,0.000,0.000
21.633,0.000,0.000,0.000
21.641,0.000,0.000,0.000
21.648,0.000,0.000,0.000
21.656,0.000,0.000,0.000
21.664,0.000,0.000,0.000
21.672,0.000,0.000,0.000
21.680,0.000,0.000,0.000
21.688,0.000,0.000,0.000
21.695,0.000,0.000,0.000
21.703,0.000,0.000,0.000
21.711,0.000,0.000,0.000
21.719,0.000,0.000,0.000
21.727,0.000,0.000,0.000
21.734,0.000,0.000,0.000
21.742,0.000,0.000,0.000
21.750,0.000,0.000,0.000
21.758,0.000,0.000,0.000
21.766,0.000,0.000,0.000
21.773,0.000,0.000,0.000
21.781,0.000,0.000,0.000
21.789,0.000,0.000,0.000
21.797,0.000,0.000,0.000
21.805,0.000,0.000,0.000
21.812,0.000,0.000,0.000
21.820,0.000,0.000,0.000
21.828,0.000,0.000,0.000
21.836,0.000,0.000,0.000
21.844,0.000,0.000,0.000
21.852,0.000,0.000,0.000
21.859,0.000,0.000,0.000
21.867,0.000,0.000,0.000
21.875,0.000,0.000,0.000
21.883,0.000,0.000,0.000
21.891,0.000,0.000,0.000
21.898,0.000,0.000,0.000
21.906,0.000,0.000,0.000
21.914,0.000,0.000,0.000
21.922,0.000,0.000,0.000
21.930,0.000,0.000,0.000
21.938,0.000,0.000,0.000
21.945,0.000,0.000,0.000
21.953,0.000,0.000,0.000
21.961,0.000,0.000,0.000
21.969,0.000,0.000,0.000
21.977,0.000,0.000,0.000
21.984,0.000,0.000,0.000
21.992,0.000,0.000,0.000
22.000,0.000,0.000,0.000
22.008,0.000,0.000,0.000
22.016,0.000,0.000,0.000
22.023,0.000,0.000,0.000
22.031,0.000,0.000,0.000
